[2025-10-18T21:11:09.552+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'consultant' @ Remote (canada)
[2025-10-18T21:11:10.412+0000] {subprocess.py:93} INFO - [OK] 14 rows for 'consultant' @ Paris (france)
[2025-10-18T21:11:11.530+0000] {subprocess.py:93} INFO - [OK] 20 rows for 'consultant' @ Paris (canada)
[2025-10-18T21:11:12.010+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'consultant' @ Lyon (france)
[2025-10-18T21:11:12.290+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Lyon (canada)
[2025-10-18T21:11:13.390+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'full stack' @ France (france)
[2025-10-18T21:11:13.655+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ France (canada)
[2025-10-18T21:11:13.902+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ Remote (france)
[2025-10-18T21:11:14.476+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'full stack' @ Remote (canada)
[2025-10-18T21:11:14.837+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'full stack' @ Paris (france)
[2025-10-18T21:11:15.133+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ Paris (canada)
[2025-10-18T21:11:15.894+0000] {subprocess.py:93} INFO - [OK] 7 rows for 'full stack' @ Lyon (france)
[2025-10-18T21:11:16.233+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ Lyon (canada)
[2025-10-18T21:11:17.492+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'frontend' @ France (france)
[2025-10-18T21:11:17.882+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ France (canada)
[2025-10-18T21:11:18.384+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ Remote (france)
[2025-10-18T21:11:19.391+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'frontend' @ Remote (canada)
[2025-10-18T21:11:20.448+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'frontend' @ Paris (france)
[2025-10-18T21:11:21.492+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ Paris (canada)
[2025-10-18T21:11:22.098+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'frontend' @ Lyon (france)
[2025-10-18T21:11:22.671+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ Lyon (canada)
[2025-10-18T21:11:23.385+0000] {subprocess.py:93} INFO - [OK] 7 rows for 'backend' @ France (france)
[2025-10-18T21:11:23.653+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ France (canada)
[2025-10-18T21:11:23.894+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ Remote (france)
[2025-10-18T21:11:24.638+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'backend' @ Remote (canada)
[2025-10-18T21:11:25.071+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'backend' @ Paris (france)
[2025-10-18T21:11:25.380+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ Paris (canada)
[2025-10-18T21:11:25.815+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'backend' @ Lyon (france)
[2025-10-18T21:11:26.140+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ Lyon (canada)
[2025-10-18T21:11:26.941+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'devops' @ France (france)
[2025-10-18T21:11:27.295+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'devops' @ France (canada)
[2025-10-18T21:11:27.544+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'devops' @ Remote (france)
[2025-10-18T21:11:28.364+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'devops' @ Remote (canada)
[2025-10-18T21:11:29.313+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'devops' @ Paris (france)
[2025-10-18T21:11:30.310+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'devops' @ Paris (canada)
[2025-10-18T21:11:31.125+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'devops' @ Lyon (france)
[2025-10-18T21:11:31.466+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'devops' @ Lyon (canada)
[2025-10-18T21:11:35.614+0000] {subprocess.py:93} INFO - [OK] 89 rows for 'product' @ France (france)
[2025-10-18T21:11:35.938+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'product' @ France (canada)
[2025-10-18T21:11:36.138+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'product' @ Remote (france)
[2025-10-18T21:11:37.562+0000] {subprocess.py:93} INFO - [OK] 24 rows for 'product' @ Remote (canada)
[2025-10-18T21:11:38.951+0000] {subprocess.py:93} INFO - [OK] 34 rows for 'product' @ Paris (france)
[2025-10-18T21:11:43.915+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'product' @ Paris (canada)
[2025-10-18T21:11:44.910+0000] {subprocess.py:93} INFO - [OK] 22 rows for 'product' @ Lyon (france)
[2025-10-18T21:11:45.766+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'product' @ Lyon (canada)
[2025-10-18T21:11:47.878+0000] {subprocess.py:93} INFO - [OK] 67 rows for 'project' @ France (france)
[2025-10-18T21:11:48.173+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'project' @ France (canada)
[2025-10-18T21:11:48.665+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'project' @ Remote (france)
[2025-10-18T21:11:49.811+0000] {subprocess.py:93} INFO - [OK] 26 rows for 'project' @ Remote (canada)
[2025-10-18T21:11:50.869+0000] {subprocess.py:93} INFO - [OK] 31 rows for 'project' @ Paris (france)
[2025-10-18T21:11:54.442+0000] {subprocess.py:93} INFO - [OK] 127 rows for 'project' @ Paris (canada)
[2025-10-18T21:11:55.029+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'project' @ Lyon (france)
[2025-10-18T21:11:55.315+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'project' @ Lyon (canada)
[2025-10-18T21:11:55.339+0000] {subprocess.py:93} INFO - [BATCH DEDUP] 3023 → 1512 unique
[2025-10-18T21:11:55.398+0000] {subprocess.py:93} INFO - Traceback (most recent call last):
[2025-10-18T21:11:55.398+0000] {subprocess.py:93} INFO -   File "/workspace/scripts/jobspy_collect.py", line 114, in <module>
[2025-10-18T21:11:55.402+0000] {subprocess.py:93} INFO -     main()
[2025-10-18T21:11:55.402+0000] {subprocess.py:93} INFO -   File "/workspace/scripts/jobspy_collect.py", line 100, in main
[2025-10-18T21:11:55.404+0000] {subprocess.py:93} INFO -     _append_jsonl(tmp, new_df)
[2025-10-18T21:11:55.405+0000] {subprocess.py:93} INFO -   File "/workspace/scripts/jobspy_collect.py", line 31, in _append_jsonl
[2025-10-18T21:11:55.407+0000] {subprocess.py:93} INFO -     f.write(json.dumps(rec, ensure_ascii=False) + "\n")
[2025-10-18T21:11:55.407+0000] {subprocess.py:93} INFO -             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-10-18T21:11:55.408+0000] {subprocess.py:93} INFO -   File "/usr/local/lib/python3.12/json/__init__.py", line 238, in dumps
[2025-10-18T21:11:55.408+0000] {subprocess.py:93} INFO -     **kw).encode(obj)
[2025-10-18T21:11:55.408+0000] {subprocess.py:93} INFO -           ^^^^^^^^^^^
[2025-10-18T21:11:55.409+0000] {subprocess.py:93} INFO -   File "/usr/local/lib/python3.12/json/encoder.py", line 200, in encode
[2025-10-18T21:11:55.409+0000] {subprocess.py:93} INFO -     chunks = self.iterencode(o, _one_shot=True)
[2025-10-18T21:11:55.410+0000] {subprocess.py:93} INFO -              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-10-18T21:11:55.410+0000] {subprocess.py:93} INFO -   File "/usr/local/lib/python3.12/json/encoder.py", line 258, in iterencode
[2025-10-18T21:11:55.410+0000] {subprocess.py:93} INFO -     return _iterencode(o, 0)
[2025-10-18T21:11:55.411+0000] {subprocess.py:93} INFO -            ^^^^^^^^^^^^^^^^^
[2025-10-18T21:11:55.411+0000] {subprocess.py:93} INFO -   File "/usr/local/lib/python3.12/json/encoder.py", line 180, in default
[2025-10-18T21:11:55.412+0000] {subprocess.py:93} INFO -     raise TypeError(f'Object of type {o.__class__.__name__} '
[2025-10-18T21:11:55.412+0000] {subprocess.py:93} INFO - TypeError: Object of type date is not JSON serializable
[2025-10-18T21:11:55.602+0000] {subprocess.py:97} INFO - Command exited with return code 1
[2025-10-18T21:11:55.606+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-10-18T21:11:55.630+0000] {taskinstance.py:2905} ERROR - Task failed with exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/taskinstance.py", line 465, in _execute_task
    result = _execute_callable(context=context, **execute_callable_kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/taskinstance.py", line 432, in _execute_callable
    return execute_callable(context=context, **execute_callable_kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/baseoperator.py", line 401, in wrapper
    return func(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/operators/bash.py", line 243, in execute
    raise AirflowException(
airflow.exceptions.AirflowException: Bash command failed. The command returned a non-zero exit code 1.
[2025-10-18T21:11:55.641+0000] {taskinstance.py:1206} INFO - Marking task as FAILED. dag_id=jobs_jobspy_daily, task_id=collect_jobspy, run_id=manual__2025-10-18T21:08:57.789477+00:00, execution_date=20251018T210857, start_date=20251018T210858, end_date=20251018T211155
[2025-10-18T21:11:55.665+0000] {standard_task_runner.py:110} ERROR - Failed to execute job 83 for task collect_jobspy (Bash command failed. The command returned a non-zero exit code 1.; 3234)
[2025-10-18T21:11:55.723+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 1
[2025-10-18T21:11:55.775+0000] {taskinstance.py:3503} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2025-10-18T21:11:55.782+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
