[2025-10-18T21:22:02.360+0000] {subprocess.py:93} INFO - [OK] 38 rows for 'sales' @ Paris (canada)
[2025-10-18T21:22:03.461+0000] {subprocess.py:93} INFO - [OK] 46 rows for 'sales' @ Lyon (france)
[2025-10-18T21:22:03.714+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'sales' @ Lyon (canada)
[2025-10-18T21:22:04.760+0000] {subprocess.py:93} INFO - [OK] 33 rows for 'security' @ France (france)
[2025-10-18T21:22:05.042+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ France (canada)
[2025-10-18T21:22:05.272+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ Remote (france)
[2025-10-18T21:22:05.827+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'security' @ Remote (canada)
[2025-10-18T21:22:06.338+0000] {subprocess.py:93} INFO - [OK] 12 rows for 'security' @ Paris (france)
[2025-10-18T21:22:07.545+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'security' @ Paris (canada)
[2025-10-18T21:22:08.030+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'security' @ Lyon (france)
[2025-10-18T21:22:08.264+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ Lyon (canada)
[2025-10-18T21:22:08.867+0000] {subprocess.py:93} INFO - [OK] 14 rows for 'analyst' @ France (france)
[2025-10-18T21:22:09.155+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'analyst' @ France (canada)
[2025-10-18T21:22:09.359+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'analyst' @ Remote (france)
[2025-10-18T21:22:10.155+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'analyst' @ Remote (canada)
[2025-10-18T21:22:10.707+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'analyst' @ Paris (france)
[2025-10-18T21:22:11.538+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'analyst' @ Paris (canada)
[2025-10-18T21:22:12.016+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'analyst' @ Lyon (france)
[2025-10-18T21:22:12.957+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'analyst' @ Lyon (canada)
[2025-10-18T21:22:13.704+0000] {subprocess.py:93} INFO - [OK] 19 rows for 'consultant' @ France (france)
[2025-10-18T21:22:13.934+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ France (canada)
[2025-10-18T21:22:14.150+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Remote (france)
[2025-10-18T21:22:14.835+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'consultant' @ Remote (canada)
[2025-10-18T21:22:16.078+0000] {subprocess.py:93} INFO - [OK] 14 rows for 'consultant' @ Paris (france)
[2025-10-18T21:22:17.612+0000] {subprocess.py:93} INFO - [OK] 18 rows for 'consultant' @ Paris (canada)
[2025-10-18T21:22:18.053+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'consultant' @ Lyon (france)
[2025-10-18T21:22:18.351+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Lyon (canada)
[2025-10-18T21:22:19.066+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'full stack' @ France (france)
[2025-10-18T21:22:19.299+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ France (canada)
[2025-10-18T21:22:19.550+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ Remote (france)
[2025-10-18T21:22:20.261+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'full stack' @ Remote (canada)
[2025-10-18T21:22:20.708+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'full stack' @ Paris (france)
[2025-10-18T21:22:20.991+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ Paris (canada)
[2025-10-18T21:22:21.615+0000] {subprocess.py:93} INFO - [OK] 7 rows for 'full stack' @ Lyon (france)
[2025-10-18T21:22:21.910+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'full stack' @ Lyon (canada)
[2025-10-18T21:22:22.534+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'frontend' @ France (france)
[2025-10-18T21:22:22.826+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ France (canada)
[2025-10-18T21:22:22.994+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ Remote (france)
[2025-10-18T21:22:23.585+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'frontend' @ Remote (canada)
[2025-10-18T21:22:24.178+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'frontend' @ Paris (france)
[2025-10-18T21:22:24.442+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ Paris (canada)
[2025-10-18T21:22:24.915+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'frontend' @ Lyon (france)
[2025-10-18T21:22:25.161+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'frontend' @ Lyon (canada)
[2025-10-18T21:22:25.618+0000] {subprocess.py:93} INFO - [OK] 7 rows for 'backend' @ France (france)
[2025-10-18T21:22:25.918+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ France (canada)
[2025-10-18T21:22:26.152+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ Remote (france)
[2025-10-18T21:22:26.815+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'backend' @ Remote (canada)
[2025-10-18T21:22:27.292+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'backend' @ Paris (france)
[2025-10-18T21:22:27.552+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ Paris (canada)
[2025-10-18T21:22:28.056+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'backend' @ Lyon (france)
[2025-10-18T21:22:28.311+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'backend' @ Lyon (canada)
[2025-10-18T21:22:28.952+0000] {subprocess.py:93} INFO - [OK] 10 rows for 'devops' @ France (france)
[2025-10-18T21:22:29.311+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'devops' @ France (canada)
[2025-10-18T21:22:29.551+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'devops' @ Remote (france)
[2025-10-18T21:22:30.160+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'devops' @ Remote (canada)
[2025-10-18T21:22:30.768+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'devops' @ Paris (france)
[2025-10-18T21:22:31.649+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'devops' @ Paris (canada)
[2025-10-18T21:22:32.099+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'devops' @ Lyon (france)
[2025-10-18T21:22:32.382+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'devops' @ Lyon (canada)
[2025-10-18T21:22:34.481+0000] {subprocess.py:93} INFO - [OK] 88 rows for 'product' @ France (france)
[2025-10-18T21:22:34.724+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'product' @ France (canada)
[2025-10-18T21:22:34.962+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'product' @ Remote (france)
[2025-10-18T21:22:36.080+0000] {subprocess.py:93} INFO - [OK] 23 rows for 'product' @ Remote (canada)
[2025-10-18T21:22:37.256+0000] {subprocess.py:93} INFO - [OK] 34 rows for 'product' @ Paris (france)
[2025-10-18T21:22:41.681+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'product' @ Paris (canada)
[2025-10-18T21:22:42.848+0000] {subprocess.py:93} INFO - [OK] 22 rows for 'product' @ Lyon (france)
[2025-10-18T21:22:43.472+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'product' @ Lyon (canada)
